Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
29-Jun-21,2021,Airbus A350-941,Airbus,F-HTYH,Air France,0,Paris-Charles de Gaulle Airport (CDG/LFPG),non,Miscellaneous,0,0
1-Jul-21,2021,Convair CV-580 Airtanker,Convair,C-FKFL,Conair,0,"Penticton Airport, BC (YYF)",sub,Pilot Error,0,0
1-Jul-21,2021,Convair CV-580 Airtanker,Convair,C-FHKF,Conair,0,"Penticton Airport, BC (YYF)",min,Pilot Error,0,0
2-Jul-21,2021,Boeing 737-275C Adv.,Boeing,N810TA,Transair (Cargo),0,"9 km WSW off Honolulu-Daniel K. Inouye International Airport, HI (HNL)",w/o,Pilot Error,0,0
2-Jul-21,2021,Cessna 750 Citation X,Cessna,SX-ECI,Hellenic CAA,0,Paphos International Airport (PFO/LCPH),sub,Mechanical Failure,0,0
4-Jul-21,2021,Airbus A321-231,Airbus,N156AN,American Airlines,0,"Miami, Florida",non,Turbulence,0,0
4-Jul-21,2021,Antonov An-2R,Antonov,UP-A0135,ELISA,0,"12 km from Karaultobe, Kyzylorda",sub,Mechanical Failure,0,0
6-Jul-21,2021,ATR 42-320,ATR,C-GLDE,Transwest Air,0,"120 nm from Saskatoon, SK",non,Turbulence,0,0
7-Jul-21,2021,Cessna 208B Grand Caravan,Cessna,,Ryan Air,0,"near Aniak Airport, AK (ANI)",non,Miscellaneous,0,0
11-Jul-21,2021,Airbus A320-214,Airbus,D-AICP,Condor Flugdienst,0,Kavala-Megas Alexandros Airport (KVA),sub,Maintenance ,0,0
11-Jul-21,2021,de Havilland Canada DHC-3T Vazar Turbine Otter,de Havilland Canada,C-FLLL,Northwestern Air,0,"31,5 km ENE of Fort Smith, NT",sub,Undetermined,0,0
11-Jul-21,2021,Cessna 208 Caravan I,Cessna,C-GUAY,Air Tunilik,0,"Rex North Mining Camp, QC",sub,Mechanical Failure,0,0
14-Jul-21,2021,Cessna 208B Grand Caravan EX,Cessna,8R-ABK,Jags Aviation,0,Eteringbang Airport (SYET),sub,Runway,0,0
15-Jul-21,2021,de Havilland Canada DHC-3T Vazar Turbine Otter,de Havilland Canada,C-GUTW,Harbour Air,0,"Ganges Harbor Airport, BC (YGG)",sub,Miscellaneous,0,0
15-Jul-21,2021,Cessna 208 Caravan I,Cessna,C-GIGO,Seair Seaplanes,0,"Ganges Harbor Airport, BC (YGG)",sub,Miscellaneous,0,0
16-Jul-21,2021,Antonov An-28,Antonov,RA-28728,SiLA - Siberian Light Aviation,0,52 km SE of Kedrovo,sub,Pilot Error,0,0
17-Jul-21,2021,Cessna 208B Supervan 900,Cessna,G-OJMP,GoSkydive,0,Old Sarum Airfield,sub,Pilot Error,0,0
18-Jul-21,2021,ATR 72-500 (72-212A),ATR,EC-MSN,"Air Europa Express, opb Aeronova",0,Madrid-Barajas Adolfo Suárez Airport (MAD),sub,Miscellaneous,0,0
